Model ranking;ranking;ind;relevance;review
0;26;73;0.5741773293320189;really love desk bought black fits well espresso colored wood furniture room since using dining living room opted mount little higher recommended could transfer dining chair desk working computer chose desk location wanted place combo room splits tile carpet non floating desk would sit level location even know floating desks option stumbled upon desk serves purpose well n nmy husband mechanic able put together mount wall less hour comes bracket mounts wall fits onto bracket easy mounting removal center section desk fits 27 imac perfectly forego additional moulding fits across top section designed hide mounting bracket view problem though monitor fits perfectly hides bracket anyway box desk portion back holds surge protector hides view since outlet directly behind desk simply drilled hole side desk run cord plug n nthe desk slightly damaged shipping got small scratch one large wing panels side came wood pen quick touch looked fine would recommend desk anyone
1;75;75;0.5259042513160799;loved product well made computer desk shelf system thousand really bolts nuts assemble expect many bolts yet prefect long sections computer wanted find desk would reduce neck strain floor desk positioning shelf relation personal height wall able adjust head always held upright position great us suffering bending necks years computer item ergonomically real blessing n nall put together easy fit n nat first complained nuts bolts think would able put together never tried keep coming heart try two weeks living room floor said ok try learned amazing bolts nuts funny made designed act like re bars make desk solid bolts go directly partial boards without going important areas reinforcement nut and or locking system nut makes desk sound know items make partly mostly partial boards impressed specialized bolts nuts styles actually following directions pictures put desk together lady ok well help lord enjoyed much thought thinking paying someone fifty bucks even put bar desk hang wall stubs wall ally wrench thing wonderful tool stating hole slush hammer power drill even suggested height measurements right key took guess workout project us learned truly easy fit fun project desk sturdy fear anymore trying do it yourself projects on n nmakeeba
2;11;45;0.5018059682859045;lot researching finally deciding buying desk reading comments afraid getting wrong color missing parts worries disappeared opened box everything even extra parts left small desk bedroom took much room years ago purchased floating shelf loved finally found desk match looks like made put desk high enough arms chair fits underneath wanted stand would awkward whole area compact yet plenty room stuff put desk together kind hard several attempts got together two people needed hang unless strong person took get used desk sensation may fall lap two weeks already used height con depth 19 almost enough space monitor keyboard help keep desk clutter free
3;41;69;0.4467291293375143;desk pretty fabulous take little get even though prime ca hold it n nit arrived pieces including hardware instructions took hour put together working casually setting break installation records nothing labelled marked however opened box go check piece listed ensure everything also comes furniture marker case make scratches assembly thought cool n nit comes metal bracket attaches three studs wall heavy duty screws bracket installed wall desk simply hooks bracket amazingly sturdy listed exceed 100lbs amazing amount weight desk hold n nit looks cheap chintzy looks like nice piece furniture appreciate top shelf able put lamp illuminates whole surface desk rather lamp one corner work surface
4;9;59;0.41803168447439565;hope review help make informed choice comes computer desk n n gave desk four star based couple reasons first fact actually love look design desk second creates leg room de clutters computer area ask would purchase would say yes beautiful spacious piece n n little concerns new buyers go ahead time get lag bolts store sent three desk three broke prepared review already read also desktop two small spots chips one spot size shape tip fingernail corner desktop appears crumpled little say dents chips came since box open upon arrival said still happy desk live dents price look feel desk n ni would also recommend desk easily discouraged purpose perfect
5;25;66;0.36821045289456;desk awesome got one daughters room makeover love much m getting one bedroom strong well made able put together needed help mounting recommended desk height mounting made extremely short person apparently keep mind separate shelving monitor keyboard leaving monitor chest level even low nine year old hunch homework easy enough fix mounting raising mounting bar inches reattach desk calculate desired height
6;33;29;0.34889805286686604;desk easy install looks great love saves lot space yet still enough room get things done n nonly bad thing hanging hard get cables come small space back desk meant hide everything add things afterwards pain get new cords inside
7;30;39;0.33104064161193303;pleased desk pieces labeled difficult identify experience putting together type furniture wood screws used mount bar wall tightened allen wrench husband hated type bit drill use instructions measuring height mount wall think typo measure carefully understand measurements diagrams may need adjusted based needs bump everything 1 5 outlets higher desk love take much space perfect needs
8;10;41;0.3223314605672034;really like desk opens floor underneath desk makes looks clean cords kept hidden away tidy put mine corner normal desk makes seem dark desk brightens functional short horizontal piece behind keep monitor see pictures covers part hanging system found useful purchasing peel stick dry erase board attaching mini dry erase area great little notes inspirational quotes
9;76;42;0.31066591669639926;like desk takes much less room old one get easy pick things fall clean floor bad part 2 man job put found builder put studs supposed put paper chalk board back wall even found stool fit perfect color amazon
10;4;13;0.26681493838602804;seeing pics desk apple imacs decided purchase desk fit great largest window desk desk hangs metal bar screwed wall front lifted bumped front office chair goes experience new 5k retina 27 imac screen shattered costing 606 repair needs option secures desk wall rather hanging would return could anyone else experienced breaking valuables desk
11;57;28;0.24465008868914181;small bedroom teen worked perfectly took bit put together added blue rope back lighting hung wall gave 4 stars hung one shelves fell actually took 1 4 chunk laminate taking care putting together hanging something simple actually damaged backlit blue rope light top valance board looks great
12;35;31;0.21704259556603622;unit made huge difference home office realize crowded installed desk one side office looks great much ordered second unit clear side n nassembly bit taxing tell front two person job pay close attention different types bolts used throughout assembly parts description detailed put everything together instructed parts left assembly time two fairly intelligent folks 90 minutes questions videos tech support take well supported product n nphoto attached moments install still organizing
13;68;23;0.18079991671944853;great quality easy build cool together wall
14;55;12;0.1386206560167344;sturdy functional neat design arrived quickly decentently priced hidden shelf area cords top shelf wide enough office supplies wide enough things like printer though
15;17;9;0.059220279311440485;great desk favor hanging go home depot couple heavy duty hex screws provided screws strong enough drive stud broke mounted higher bought counter height bar stool teen loves new study area
